tag,duration(s)
bg,20.12
crack,1.01
f chest,4.95
f face,10.14
f feet,0.39
f l hand,1.47
f r hand,2.48
guy,0.0
l base,4.1
lights,0.62
m chest,9.67
m face,4.49
m feet,1.39
m l hand,0.77
m r hand,1.08
noise,33.75
r base,3.56
