section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,tag
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,798.302,383.414,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,798.363,383.33,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,798.55,383.48,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,798.827,383.66,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,799.413,383.702,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,801.415,383.375,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,801.375,388.645,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,801.884,390.142,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,802,395.711,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,810.237,396.88,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,814.056,396.975,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,813.855,396.852,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,813.63,396.35,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,812.899,395.998,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,812.493,399.178,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,812.872,398.437,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,812.791,398.006,1,1,,eyes
2e6f4a06-a571-41f0-b900-95045283f3a4,d2d92991-4b37-4b41-93dd-617b24b9b28a,1.63412E+18,812.534,397.407,1,1,,eyes
