tag,duration(s)
bg,17.2
crack,1.66
f chest,4.48
f face,9.97
f feet,0.69
f l hand,1.33
f r hand,2.38
guy,0.16
l base,4.32
lights,0.44
m chest,11.14
m face,4.84
m feet,1.05
m l hand,1.09
m r hand,1.41
noise,33.06
r base,4.76
