name,"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(center_x,center_y)"
m face,"(698, 410)","(755, 305)","(698, 305)","(755, 410)","(726, 357)"
f face,"(551, 433)","(631, 309)","(551, 309)","(631, 433)","(591, 371)"
m r hand,"(510, 447)","(557, 383)","(510, 383)","(557, 447)","(533, 415)"
m l hand,"(666, 568)","(741, 536)","(666, 536)","(741, 568)","(703, 552)"
f r hand,"(606, 553)","(690, 500)","(606, 500)","(690, 553)","(648, 526)"
f l hand,"(648, 617)","(700, 568)","(648, 568)","(700, 617)","(674, 592)"
m chest,"(632, 527)","(790, 402)","(632, 402)","(790, 527)","(711, 464)"
f chest,"(485, 557)","(670, 450)","(485, 450)","(670, 557)","(577, 503)"
m feet,"(52, 619)","(154, 567)","(52, 567)","(154, 619)","(103, 593)"
f feet,"(10, 693)","(84, 601)","(10, 601)","(84, 693)","(47, 647)"
crack,"(406, 879)","(474, 569)","(406, 569)","(474, 879)","(440, 724)"
r base,"(480, 908)","(862, 688)","(480, 688)","(862, 908)","(671, 798)"
l base,"(9, 998)","(399, 703)","(9, 703)","(399, 998)","(204, 850)"
lights,"(7, 209)","(210, 5)","(7, 5)","(210, 209)","(108, 107)"
lights,"(722, 202)","(1071, 15)","(722, 15)","(1071, 202)","(896, 108)"
bg,"(189, 546)","(549, 223)","(189, 223)","(549, 546)","(369, 384)"
