,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,timestamp [ns]_for_grouping,ref_center_x,ref_center_y,ref_coordinates,tag
79,1065,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5331.648,790.036,574.579,1.0,13.0,,1634117194182361265,805,587,"(805, 587)",noise
80,1071,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5359.642,791.074,575.592,1.0,13.0,,1634117194210355265,806,588,"(806, 588)",noise
81,1077,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5391.632,787.997,572.886,1.0,13.0,,1634117194242345265,802,585,"(802, 585)",noise
82,1084,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5427.672,788.412,573.06,1.0,13.0,,1634117194278385265,802,585,"(802, 585)",noise
83,1090,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5455.715,784.758,574.014,1.0,13.0,,1634117194306428265,800,586,"(800, 586)",noise
84,1097,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5491.638,785.611,574.243,1.0,13.0,,1634117194342351265,799,587,"(799, 587)",noise
85,1105,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5531.658,781.738,630.853,1.0,,,1634117194382371265,795,644,"(795, 644)",noise
86,1109,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5551.602,657.893,712.459,1.0,,,1634117194402315265,670,723,"(670, 723)",r base
87,1115,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5579.632,580.136,728.747,1.0,,,1634117194430345265,593,739,"(593, 739)",r base
88,1121,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5611.596,673.023,637.022,1.0,,,1634117194462309265,687,649,"(687, 649)",noise
89,1129,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5651.659,672.697,597.71,1.0,,,1634117194502372265,689,610,"(689, 610)",f l hand
90,1135,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5683.634,681.185,544.987,1.0,14.0,,1634117194534347265,697,558,"(697, 558)",m l hand
91,1141,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,5711.664,671.265,535.265,1.0,14.0,,1634117194562377265,688,547,"(688, 547)",m l hand
