index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
334,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496226198239,401.726,454.479,1.0,5.0,,-10.399530552990894,8.37485780521932,1672.026,1485,597
340,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496258181239,403.411,453.219,1.0,5.0,,-10.273183834212332,8.470546747632179,1704.009,1486,595
346,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496286196239,403.207,450.636,1.0,5.0,,-10.292321378147497,8.664451404612393,1732.024,1486,593
351,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496314188239,403.51,448.436,1.0,5.0,,-10.272406810703192,8.829863827424127,1760.016,1484,610
360,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496358196239,402.368,448.533,1.0,5.0,,-10.35914609376181,8.82182964354653,1804.024,1475,652
367,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496394170239,405.839,447.623,1.0,5.0,,-10.096323834560994,8.892466023242234,1839.998,1526,646
373,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496422204239,407.875,449.637,1.0,5.0,,-9.938516026089673,8.742435431417512,1868.032,1462,654
380,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496458195239,409.138,449.957,1.0,5.0,,-9.842033070470375,8.719198841771378,1904.023,1584,668
387,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496494185239,409.648,453.067,1.0,5.0,,-9.799044453389584,8.485868751936348,1940.013,1232,626
394,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496526194239,406.107,443.194,1.0,5.0,,-10.08230890161106,9.22529947438604,1972.022,-6698,10
401,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496562207239,419.1,444.103,1.0,5.0,,-9.091669425551922,9.165456429167865,2008.035,1460,595
407,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496594176239,419.122,444.454,1.0,5.0,,-9.08953000051799,9.139032683904237,2040.004,1576,656
413,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496622198239,422.527,444.433,1.0,5.0,,-8.83023410492685,9.142644893393612,2068.026,1228,629
420,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496658206239,422.577,443.803,1.0,5.0,,-8.82730545198298,9.190077100615028,2104.034,1149,622
426,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496690209239,420.049,442.727,1.0,5.0,,-9.021218158347969,9.269484475666282,2136.037,1141,622
432,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496718218239,420.627,447.823,1.0,,,-8.970562896115377,8.88659136082454,2164.046,1180,622
440,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496758201239,251.736,488.303,1.0,,,-21.72908518824514,5.73762196342091,2204.029,1274,651
446,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496790188239,248.599,497.045,1.0,6.0,,-21.950351259337413,5.090775562872532,2236.016,1239,663
453,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496822206239,239.344,491.21,1.0,6.0,,-22.66421743634264,5.513019655756883,2268.034,1053,858
461,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496862207239,238.741,492.344,1.0,6.0,,-22.707648108995688,5.429059657943345,2308.035,432,670
467,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496894215239,240.184,490.785,1.0,6.0,,-22.601269123567626,5.545001346518547,2340.043,1409,653
473,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496922206239,239.352,496.522,1.0,6.0,,-22.653135514096444,5.122189003409355,2368.034,336,655
480,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496958208239,247.157,498.347,1.0,6.0,,-22.05745554616899,4.993804610055016,2404.036,319,649
487,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543496994217239,253.832,495.366,1.0,6.0,,-21.556402951329314,5.218562054981505,2440.045,2052,751
494,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497030185239,251.452,497.387,1.0,6.0,,-21.733316978820834,5.067736411985855,2476.013,2002,756
501,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497062239239,248.026,495.16,1.0,6.0,,-21.997352513383515,5.229218737187633,2508.067,361,655
505,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497082213239,249.124,495.46,1.0,6.0,,-21.913450379715943,5.207990991753892,2528.041,2480,816
511,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497114213239,246.248,495.869,1.0,6.0,,-22.13091547953124,5.175638534381926,2560.041,1939,761
518,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497150188239,249.86,494.598,1.0,6.0,,-21.85922957654185,5.2720602863329145,2596.016,1973,759
525,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497182203239,255.123,495.673,1.0,6.0,,-21.45787838465909,5.196847030636739,2628.031,1298,817
533,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497222197239,259.247,493.76,1.0,6.0,,-21.14846315802511,5.341180987940964,2668.025,2019,755
538,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497250196239,263.891,493.221,1.0,6.0,,-20.79716021292985,5.3845221430209325,2696.024,2054,751
545,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497282184239,264.731,490.855,1.0,6.0,,-20.73778292202871,5.5599928975870885,2728.012,2708,815
552,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497318201239,269.502,488.39,1.0,6.0,,-20.380462929767265,5.745898184330891,2764.029,998,827
559,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497354185239,269.514,484.163,1.0,6.0,,-20.387766805462267,6.058437211826387,2800.013,3434,823
566,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497390193239,267.517,476.896,1.0,6.0,,-20.55460207118901,6.593804601344688,2836.021,1253,647
572,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497418216239,266.756,473.706,1.0,6.0,,-20.619509265983943,6.828870219914573,2864.044,1508,655
580,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497458204239,246.33,451.123,1.0,6.0,,-22.23459495000756,8.471955668445831,2904.032,1120,745
585,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497486172239,245.322,453.372,1.0,6.0,,-22.30464436134308,8.304966053763076,2932.0,1182,624
592,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497518198239,248.516,457.883,1.0,6.0,,-22.04796952623711,7.97656424925226,2964.026,1241,647
600,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497558233239,249.56,460.228,1.0,6.0,,-21.961859581612917,7.805004458641342,3004.061,1470,601
605,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497586187239,254.197,461.099,1.0,6.0,,-21.606283027105807,7.746267086675228,3032.015,1082,634
612,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497618205239,265.019,461.143,1.0,6.0,,-20.782303101441546,7.755424863497516,3064.033,5506,595
619,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497654187239,271.541,443.193,1.0,6.0,,-20.33544961762811,9.090453680410205,3100.015,-405,753
626,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497690187239,273.009,436.745,1.0,6.0,,-20.24315582931183,9.569519969251376,3136.015,166,725
632,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497718212239,279.114,447.081,1.0,6.0,,-19.74669938294908,8.812272729815485,3164.04,1357,610
639,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497754185239,290.891,446.297,1.0,6.0,,-18.85123506798317,8.884670455949358,3200.013,1289,614
646,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497790249239,298.012,437.363,1.0,6.0,,-18.33285195705309,9.556427445496476,3236.077,1350,598
652,c1ce52ad-257b-4b07-afd2-0c054ea08369,25b26f40-7dbb-4e31-bd97-48094f669e82,1688543497818200239,295.016,428.868,1.0,6.0,,-18.586535025910035,10.183340452153343,3264.028,471,702
