section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728360794846,-0.243902,2.621951,0.304878,-0.065796,-0.99585,0.114563,7.04116188585337,89.57191176894594
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728365734846,-0.426829,2.621951,0.182927,-0.0672,-0.997375,0.112793,7.082867796494327,89.14298004418265
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728370674846,-0.487805,2.621951,-0.060976,-0.065918,-0.995728,0.113098,7.124035905732683,88.71375785451431
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728375614846,-0.609756,2.5,0.0,-0.066162,-0.996338,0.108948,7.164669099482154,88.28400795701543
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728380554846,-0.426829,2.378049,0.0,-0.067444,-0.998657,0.111877,7.205149961451895,87.85528432687329
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728385494846,-0.365854,2.378049,-0.243902,-0.067078,-0.995728,0.110474,7.245474210992143,87.42696418452533
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728390434846,-0.365854,2.5,0.0,-0.069885,-0.996765,0.1073,7.28758356238086,86.99886178682004
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728395374846,-0.243902,2.5,-0.060976,-0.067383,-0.995361,0.109863,7.3285962518051235,86.5714422441817
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728400314846,-0.182927,2.743902,0.121951,-0.068909,-0.995544,0.111267,7.371464155878954,86.14454570502892
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728405254846,-0.060976,2.743902,0.121951,-0.067139,-0.997192,0.112549,7.413467885930146,85.71838869755089
3b040450-f8a9-40de-9d14-e30bb1949e77,11653c49-3612-4b82-bb36-4af353e8f283,1638443728410194846,-0.121951,2.621951,0.060976,-0.069885,-0.997864,0.111328,7.455949132493629,85.29221850000602
