section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497222338253,548.879,493.175,0.0,1,,0.7862954259762639,5.497426760511146
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497222400253,548.879,493.175,0.0,1,,0.7862954259762639,5.497426760511146
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497230375253,548.804,493.186,0.0,1,,0.7806103565878343,5.496549403820455
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497234353253,548.802,493.202,0.0,1,,0.7804660422666585,5.495363267659006
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497238350253,548.8,493.218,0.0,1,,0.7802617081092201,5.494193276066298
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497242357253,548.872,493.243,0.0,1,,0.7857455391678803,5.492235133483794
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497250382253,548.884,493.267,0.0,1,,0.7866404989474657,5.490431402908343
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497254458253,548.893,493.29,0.0,1,,0.7872814019504867,5.488728653357924
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497258714253,548.911,493.306,0.0,1,,0.7886990917105664,5.487544250907163
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497262359253,548.913,493.316,0.0,1,,0.7888278270479742,5.486742604384681
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497270350253,548.961,493.351,0.0,1,,0.7924670911765141,5.4840965295823185
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497274534253,549.081,493.513,0.0,1,,0.8015602085183344,5.47191946147184
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497278345253,549.135,493.696,0.0,1,,0.8056376162355361,5.458044322500349
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497282425253,549.254,493.915,0.0,1,,0.8146155454996987,5.4415622020329915
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497290443253,549.29,499.341,0.0,1,,0.8169994918345168,5.031977545162172
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497294581253,549.278,501.929,0.0,1,,0.8159155795141666,4.836679522421923
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497298410253,549.266,504.145,0.0,1,,0.8148645835973418,4.669430712594766
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497302371253,549.303,504.682,0.0,1,,0.8176497215760958,4.6289393968846335
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497310419253,549.469,504.43,0.0,1,,0.8302417191580287,4.6479015214544575
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464497314467253,549.499,504.543,0.0,1,,0.8324743473708422,4.639399364089106
