section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498160804253,0.853659,-1.402439,-1.768293,-0.08844,-0.957092,-0.154358,7.0324039670810805,89.57821479857398,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498165744253,0.548781,-1.402439,-1.097561,-0.087402,-0.953064,-0.150818,7.0644747528049265,89.15491648845125,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498170684253,0.426829,-1.341463,-0.731707,-0.088806,-0.961914,-0.160034,7.097084495031623,88.73108372973695,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498175624253,-0.243902,-1.219512,-0.365854,-0.089661,-0.966614,-0.16272,7.1304817208381905,88.30402286855542,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498180564253,-0.792683,-1.097561,0.060976,-0.090759,-0.957458,-0.165894,7.165370776653276,87.87442432739095,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498185504253,-1.768293,-0.914634,0.731707,-0.091919,-0.962769,-0.173462,7.2015601407338465,87.44015500070327,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498190444253,-3.109756,-0.609756,0.853659,-0.083679,-0.963013,-0.156433,7.23568890327914,86.9990704025306,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498195384253,-3.597561,-0.487805,0.792683,-0.087769,-0.973389,-0.153137,7.271779415816724,86.55585555201105,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498200324253,-3.109756,-0.426829,0.182927,-0.099365,-0.977844,-0.156616,7.312758696023337,86.11567174787666,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498205264253,-2.5,-0.487805,-0.792683,-0.094299,-0.977417,-0.160095,7.350915839135496,85.6784564717043,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498210204253,-2.073171,-0.304878,-1.768293,-0.09375,-0.979126,-0.162354,7.389215866785122,85.24349923238145,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498215144253,-1.829268,-0.182927,-2.5,-0.094482,-0.974976,-0.173645,7.428167724610944,84.809989050728,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498220084253,-1.52439,0.182927,-2.317073,-0.08667,-0.973938,-0.171936,7.465570069981112,84.37792477757336,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498225024253,-1.097561,0.731707,-2.378049,-0.091675,-0.983032,-0.174011,7.507274296330934,83.94837854605657,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498229964253,-0.853659,1.341463,-2.439024,-0.092712,-0.98584,-0.180298,7.552119078962221,83.52032718550879,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498234904253,-0.548781,2.012195,-2.195122,-0.091431,-0.983704,-0.180908,7.599788124081471,83.09402727666941,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498239844253,-0.182927,2.621951,-2.012195,-0.09491,-0.978638,-0.179382,7.652078164864378,82.66999000767521,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498244784253,0.121951,3.353659,-1.768293,-0.095764,-0.981506,-0.181335,7.708202431682793,82.24779389808259,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498249724253,0.426829,3.841464,-1.52439,-0.094238,-0.985779,-0.174194,7.765922640773795,81.82735685802817,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498254664253,0.731707,4.329268,-1.829268,-0.100891,-0.990723,-0.175659,7.828229881070854,81.4089773329656,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498259604253,0.914634,4.939024,-1.768293,-0.098816,-0.98468,-0.178833,7.892782924160599,80.99176910762856,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498264544253,1.158537,5.54878,0.060976,-0.095337,-0.971985,-0.166138,7.960649842154453,80.57616110850529,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498269484253,1.341463,6.097561,1.95122,-0.093689,-0.974915,-0.157776,8.031811132392164,80.16189917740752,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498274424253,1.463415,6.707317,2.073171,-0.096069,-0.994751,-0.161072,8.106174286014465,79.748640534169,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498279364253,2.012195,7.012195,1.52439,-0.105042,-1.006531,-0.162109,8.18464906894198,79.33873914324914,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498284304253,2.987805,7.378049,0.97561,-0.109802,-1.005188,-0.163635,8.266279714231416,78.93418793295024,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498289244253,3.47561,7.682927,0.243902,-0.109009,-0.993774,-0.156067,8.348728818530532,78.53237220915173,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498294184253,3.414634,7.865854,-0.670732,-0.103271,-0.992371,-0.150024,8.42866696581504,78.13029700693659,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498299124253,3.109756,8.170732,-1.280488,-0.101318,-0.978943,-0.142517,8.508992523860769,77.7270064599029,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498304064253,2.926829,8.414635,-1.585366,-0.097595,-0.97937,-0.135132,8.588326402348173,77.32301316271275,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498309004253,3.719512,8.414635,-1.829268,-0.108948,-0.956665,-0.151123,8.672985893905263,76.92387444166422,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498313944253,2.987805,8.292683,0.853659,-0.094116,-0.979614,-0.167175,8.752587389026928,76.52113762273115,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498318884253,0.426829,8.841464,2.256098,-0.097412,-0.997192,-0.108765,8.836712645445942,76.10654514933424,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498323824253,0.853659,8.780488,-1.097561,-0.109558,-1.032715,-0.119324,8.919816074990877,75.69432388709154,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498328764253,2.195122,7.926829,-4.268293,-0.117371,-1.02356,-0.142334,8.99819870416485,75.28900611469007,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498333704253,3.109756,7.256098,-5.365854,-0.116455,-0.989014,-0.144958,9.072862725367713,74.88858623163699,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498338644253,2.378049,6.768293,-4.939024,-0.101196,-0.960327,-0.133667,9.140258375623318,74.48453707171547,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498343584253,0.670732,6.707317,-3.841464,-0.09082,-0.953308,-0.126831,9.204242016500302,74.07230587499362,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498348524253,-0.304878,6.768293,-2.5,-0.09613,-0.960938,-0.127258,9.27192107648304,73.65614806371087,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498353464253,-0.243902,6.52439,-1.280488,-0.104187,-0.978394,-0.133423,9.342465714195555,73.24126009710744,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498358404253,0.365854,6.219512,-0.97561,-0.107666,-0.985901,-0.135254,9.412804988050539,72.83005104066763,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498363344253,1.097561,5.853659,-1.219512,-0.111206,-0.986694,-0.13147,9.482163849924746,72.42307420039907,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498368284253,1.280488,5.182927,-2.012195,-0.112488,-0.979858,-0.128601,9.547703412529444,72.01746274802991,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498373224253,1.158537,4.817073,-2.743902,-0.104736,-0.971069,-0.122437,9.607195116440579,71.61132180703584,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498378164253,1.158537,4.512195,-3.109756,-0.105225,-0.972656,-0.132446,9.664512308244241,71.20558909840798,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498383104253,1.036585,4.329268,-3.04878,-0.105713,-0.967834,-0.138611,9.72116905035162,70.79978919667246,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498388044253,0.792683,4.146341,-2.682927,-0.097351,-0.966003,-0.131409,9.773712608972033,70.3930660866016,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498392984253,0.731707,4.02439,-2.195122,-0.102661,-0.970947,-0.130676,9.828173886134863,69.9868777856901,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498397924253,0.670732,3.902439,-1.463415,-0.101562,-0.978638,-0.13446,9.882194041494756,69.58098711670954,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498402864253,0.609756,3.902439,-0.609756,-0.101135,-0.977905,-0.134888,9.937234564440018,69.17549678621171,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498407804253,0.487805,3.780488,0.182927,-0.10376,-0.981812,-0.130676,9.993714071362803,68.77024614110508,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498412744253,0.487805,3.719512,0.731707,-0.100281,-0.983093,-0.130066,10.0491113392697,68.36552121636043,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498417684253,0.548781,3.536585,1.219512,-0.107727,-0.99231,-0.132751,10.107002532250846,67.96202659184428,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498422624253,0.487805,3.353659,1.097561,-0.109009,-0.987915,-0.128845,10.164287141298757,67.55885122809127,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498427564253,0.853659,3.109756,0.670732,-0.108521,-0.990479,-0.133606,10.219101971538976,67.15787549936161,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498432504253,1.036585,2.865854,0.182927,-0.110046,-0.989563,-0.127075,10.272234117476216,66.75835497960506,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498437444253,1.280488,2.560976,-0.365854,-0.108215,-0.991882,-0.128418,10.32177116819642,66.36037315678095,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498442384253,1.463415,2.5,-0.548781,-0.106262,-0.984558,-0.131226,10.369924544592408,65.96371627403363,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498447324253,1.585366,2.439024,-0.853659,-0.104614,-0.974304,-0.133484,10.416691426975376,65.5680753642313,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498452264253,1.219512,2.134146,-0.548781,-0.099365,-0.969482,-0.136658,10.460441619268977,65.17106366537712,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498457204253,0.731707,2.073171,-0.243902,-0.100281,-0.968201,-0.137268,10.5047197409545,64.77231673043511,,,,,
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464498462144253,-0.182927,1.95122,-0.365854,-0.1026,-0.970337,-0.135437,10.548785956662812,64.36969400346132,,,,,
