index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_center_x,ref_center_y
1409,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7065.098,443.561,566.408,1.0,12.0,,417,582
1416,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7097.073,436.505,568.098,1.0,12.0,,409,585
1423,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7133.085,436.149,570.245,1.0,12.0,,408,587
1429,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7165.229,409.722,579.086,1.0,13.0,,382,596
1436,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7197.062,407.332,584.679,1.0,13.0,,378,602
1443,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7233.206,410.103,587.628,1.0,13.0,,380,606
1449,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7265.097,404.261,585.379,1.0,13.0,,374,603
1456,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7297.03,411.271,589.639,1.0,13.0,,381,609
1462,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7338.066,411.957,588.798,1.0,13.0,,381,608
1472,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7377.071,410.904,590.567,1.0,13.0,,380,611
1476,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7397.106,397.922,579.812,1.0,13.0,,367,601
1483,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7433.085,394.972,563.119,1.0,13.0,,364,585
1489,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7465.077,399.923,565.724,1.0,13.0,,370,588
1496,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7501.11,396.573,567.942,1.0,13.0,,368,591
1504,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7541.125,394.779,568.098,1.0,13.0,,367,592
1511,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7573.054,393.966,569.112,1.0,13.0,,366,593
1517,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7605.058,400.839,567.759,1.0,,,374,592
1524,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7641.125,665.887,606.251,1.0,,,641,629
1531,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7673.079,704.431,619.794,1.0,14.0,,679,643
1538,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7709.083,702.758,619.902,1.0,14.0,,678,643
1544,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7741.074,707.642,620.611,1.0,14.0,,684,643
1550,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7769.058,705.554,618.703,1.0,14.0,,682,641
1557,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7805.08,703.513,620.038,1.0,14.0,,680,641
1562,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7838.129,699.8,620.201,1.0,14.0,,675,641
1571,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7877.816,712.665,626.356,1.0,,,689,647
1583,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7937.836,769.273,697.028,1.0,15.0,,747,717
1590,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7973.832,773.135,695.763,1.0,15.0,,751,716
1595,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,7997.952,768.24,690.55,1.0,15.0,,746,711
1601,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8029.829,766.059,694.572,1.0,15.0,,744,715
1609,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8069.84,767.669,696.741,1.0,15.0,,745,717
1616,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8105.848,764.804,693.671,1.0,15.0,,742,714
1623,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8141.813,751.897,672.713,1.0,15.0,,729,693
1630,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8173.811,748.676,666.524,1.0,15.0,,726,687
1636,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8205.862,747.297,665.837,1.0,15.0,,723,686
1643,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8241.84,746.179,662.937,1.0,15.0,,723,683
1650,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8273.865,744.275,661.154,1.0,15.0,,720,680
1656,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8305.86,742.854,658.536,1.0,15.0,,720,679
1661,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8336.767,742.232,659.461,1.0,15.0,,720,679
1671,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8382.108,740.544,654.113,1.0,15.0,,718,674
1676,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8406.084,740.484,654.507,1.0,15.0,,718,675
1682,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8434.411,741.377,653.627,1.0,15.0,,719,674
1688,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8466.092,741.904,654.41,1.0,15.0,,721,674
1695,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8502.068,740.258,654.883,1.0,15.0,,720,675
1702,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8534.099,761.388,716.527,1.0,,,742,736
1709,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8570.095,756.011,715.716,1.0,16.0,,738,734
1714,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8594.092,755.808,713.443,1.0,16.0,,738,731
1721,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8630.08,754.634,710.651,1.0,16.0,,738,729
1728,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8666.078,754.839,712.127,1.0,16.0,,737,729
1735,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8702.086,755.121,715.509,1.0,16.0,,737,733
1743,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8742.04,754.742,715.859,1.0,16.0,,737,733
1750,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8774.088,754.495,716.245,1.0,16.0,,737,732
1755,ce3f8dbb-af9b-4011-9784-e87aeef1e247,bf8dd17a-0203-4e87-b60a-0d29d0d10502,8802.059,753.063,715.027,1.0,16.0,,736,731
