index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg],heatmap_ts,ref_center_x,ref_center_y
444,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499450392253,522.568,405.858,1.0,7.0,,-1.2208826820547376,12.089448863225876,2228.054,1859,716
451,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499486388253,508.955,413.069,1.0,7.0,,-2.2611143031644567,11.542860125810613,2264.05,2223,704
457,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499518374253,497.663,416.197,1.0,7.0,,-3.123591410236884,11.304106675881876,2296.036,2221,701
464,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499550430253,428.886,411.131,1.0,,,-8.392158283812583,11.652391555500085,2328.092,2201,706
470,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499582502253,402.559,418.729,1.0,8.0,,-10.393420851190248,11.060400893517746,2360.164,1312,744
478,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499622419253,396.584,415.866,1.0,8.0,,-10.855756125880283,11.27017778762144,2400.081,2124,703
483,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499646395253,401.611,419.371,1.0,8.0,,-10.464750749362803,11.011350392291416,2424.057,1707,706
490,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499682484253,400.292,429.512,1.0,8.0,,-10.547466929265916,10.248656703682128,2460.146,2060,810
498,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499722450253,412.242,437.799,1.0,8.0,,-9.622870947566575,9.634897288991636,2500.112,1720,723
504,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499750428253,416.168,431.65,1.0,8.0,,-9.332641614958316,10.09980494277775,2528.09,1610,713
510,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499782399253,374.579,477.461,1.0,,,-12.429682752822222,6.634451583469956,2560.061,1772,772
518,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499822417253,338.291,514.759,1.0,9.0,,-15.134499232285837,3.8280100609446537,2600.079,1556,787
524,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499850419253,333.942,503.592,1.0,9.0,,-15.4751545301159,4.6589291204446965,2628.081,3065,691
531,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499886391253,350.268,506.336,1.0,9.0,,-14.236964257436448,4.461864843125538,2664.053,1560,778
537,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499918418253,353.494,520.933,1.0,9.0,,-13.980013218593207,3.37254515541902,2696.08,2136,955
543,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499946453253,355.468,520.029,1.0,9.0,,-13.831474881520952,3.440744411413366,2724.115,2549,804
550,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464499982560253,363.558,527.685,1.0,,,-13.214889414706748,2.870684852652813,2760.222,2041,815
557,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500018402253,423.446,557.615,1.0,,,-8.683320114144871,0.6336219584166345,2796.064,2073,933
564,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500050440253,416.016,543.313,1.0,,,-9.246755847362962,1.7078774498090783,2828.102,2033,926
570,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500082365253,429.405,549.59,1.0,,,-8.234682672219314,1.23713116073095,2860.027,2041,1003
577,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500118407253,437.496,584.354,1.0,10.0,,-7.6235112046863005,-1.3772361781791287,2896.069,2021,1133
583,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500146399253,436.818,567.348,1.0,10.0,,-7.673608758109061,-0.0981679850066506,2924.061,1861,879
590,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500182378253,417.026,566.322,1.0,10.0,,-9.167187189679767,-0.0205547778520513,2960.04,2030,1031
596,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500214488253,397.963,566.964,1.0,10.0,,-10.605798385080725,-0.0681038369507521,2992.15,1801,875
602,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500242398253,404.192,563.629,1.0,10.0,,-10.135843750280172,0.1819721403707785,3020.06,1410,749
609,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500278428253,383.907,563.642,1.0,10.0,,-11.666662743033497,0.181336117025804,3056.09,1586,791
616,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500314400253,381.889,576.636,1.0,10.0,,-11.819254276321631,-0.7918893613291821,3092.062,1495,752
622,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500342412253,411.844,547.646,1.0,,,-9.560619092861469,1.3820614448110018,3120.074,1829,857
630,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500382531253,495.682,532.276,1.0,11.0,,-3.233551280309661,2.545454460731852,3160.193,2145,891
636,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500414442253,480.499,545.809,1.0,11.0,,-4.378311160890784,1.5243114059208918,3192.104,2158,933
643,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500446401253,460.575,547.051,1.0,11.0,,-5.882266411841775,1.4298505981433878,3224.063,2203,959
648,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500474411253,454.19,526.684,1.0,,,-6.368942920124699,2.9631747063675697,3252.073,2102,1036
657,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500518420253,450.281,517.284,1.0,,,-6.667577796003696,3.670428553022203,3296.082,2092,879
663,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500546414253,435.822,521.64,1.0,,,-7.758469860283087,3.340076412077376,3324.076,2086,861
670,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500582417253,345.711,553.029,1.0,,,-14.5513031259793,0.9741387478179494,3360.079,1826,1145
675,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500606461253,367.29,574.063,1.0,,,-12.920781223905053,-0.5978576404581952,3384.123,1988,1023
682,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500642424253,383.531,581.279,1.0,12.0,,-11.69596095712198,-1.1398464859770965,3420.086,1900,1237
689,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500678417253,371.153,594.532,1.0,12.0,,-12.633917223808478,-2.1295828748035714,3456.079,1836,976
698,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500722557253,374.917,610.414,1.0,12.0,,-12.357351037537558,-3.3189036477621072,3500.219,1838,968
703,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500746376253,363.728,612.884,1.0,12.0,,-13.204231560004889,-3.499455635783625,3524.038,1925,1264
710,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500782541253,367.803,606.466,1.0,12.0,,-12.89244190458379,-3.0211335961842165,3560.203,2017,1061
716,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500814549253,367.432,581.961,1.0,,,-12.91118489484561,-1.1885302320146365,3592.211,2144,1018
723,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500846392253,393.538,555.673,1.0,,,-10.940783506855634,0.7786481548422894,3624.054,2054,1051
731,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500887041253,365.62,554.252,1.0,,,-13.048166032957688,0.8839565771444347,3664.703,2057,1094
738,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500922427253,302.226,584.097,1.0,,,-17.834766165643988,-1.3349865843281872,3700.089,1862,1238
742,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500942423253,309.759,574.641,1.0,,,-17.263836261246738,-0.6341498595371727,3720.085,1898,1216
750,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464500982387253,261.574,584.403,1.0,13.0,,-20.906996926160947,-1.3471133162911144,3760.049,1871,1128
756,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501014423253,267.864,589.998,1.0,13.0,,-20.433842673903868,-1.762046871171704,3792.085,1827,1258
764,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501054717253,274.952,583.543,1.0,13.0,,-19.89534267344857,-1.2871763853442373,3832.379,1860,1280
769,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501078427253,280.463,596.881,1.0,,,-19.48519975841799,-2.2754345415023445,3856.089,1871,1262
777,2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1688464501118415253,294.599,627.488,1.0,,2.0,-18.44489180777603,-4.549351178977942,3896.077,1902,1310
