section id,recording id,blink id,start timestamp [ns],end timestamp [ns],duration [ms]
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,1,1688464497638362253,1688464497910363253,272
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,2,1688464501102390253,1688464501438427253,336
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,3,1688464505434347253,1688464505774418253,340
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,4,1688464508730403253,1688464509102455253,372
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,5,1688464511090470253,1688464511438435253,347
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,6,1688464516950410253,1688464517334421253,384
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,7,1688464521894445253,1688464522218419253,323
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,8,1688464528854517253,1688464529214549253,360
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,9,1688464540486432253,1688464540822412253,335
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,10,1688464542442456253,1688464542706415253,263
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,11,1688464542714440253,1688464542914422253,199
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,12,1688464542918431253,1688464543202460253,284
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,13,1688464543514444253,1688464543838374253,323
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,14,1688464544562395253,1688464544890419253,328
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,15,1688464547442425253,1688464547798458253,356
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,16,1688464548126397253,1688464548454372253,327
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,17,1688464549642419253,1688464549922394253,279
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,18,1688464550922407253,1688464551222396253,299
2dc6effc-e5f5-45d5-b568-fde158cd285a,615b648c-6e41-46af-b77a-a03876081eea,19,1688464551310452253,1688464551690392253,379
