section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967012050593,1.829268,0.060976,2.682927,-0.17865,-0.953308,-0.143555,7.079148822565315,89.5885507068432
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967016990593,2.012195,0.121951,2.5,-0.177917,-0.94458,-0.14093,7.159065759378933,89.17811555554636
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967021930593,2.195122,0.060976,2.560976,-0.181152,-0.928284,-0.140564,7.241507249168819,88.76917031038795
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967026870593,2.317073,0.304878,2.926829,-0.177673,-0.9245,-0.140259,7.324069640600754,88.36068319733442
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967031810593,2.195122,0.243902,3.658537,-0.177124,-0.930542,-0.141235,7.405778380572798,87.95157487571385
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967036750593,2.134146,0.487805,4.268293,-0.175354,-0.944275,-0.145447,7.487025286995248,87.5419594172422
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967041690593,1.95122,0.731707,4.512195,-0.177246,-0.950317,-0.143005,7.569963213475205,87.13165762037926
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967046630593,2.012195,0.914634,4.329268,-0.175598,-0.959167,-0.140076,7.65247083478377,86.72155560211121
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967051570593,2.195122,1.158537,3.963415,-0.179382,-0.961365,-0.143433,7.737582320385883,86.31277722308886
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967056510593,2.317073,1.219512,3.47561,-0.17926,-0.959412,-0.14386,7.823002390545611,85.90478117058427
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967061450593,2.256098,1.280488,3.231707,-0.182922,-0.951172,-0.139832,7.91087102377324,85.49708664756582
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967066390593,2.378049,1.341463,3.353659,-0.180603,-0.947021,-0.140625,7.998471723889111,85.09009964798759
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967071330593,2.560976,1.52439,3.597561,-0.181213,-0.945374,-0.141724,8.087493444392294,84.68434450285469
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967076270593,2.621951,1.768293,4.329268,-0.179932,-0.948059,-0.146118,8.177327564967698,84.27906336694252
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967081210593,2.439024,2.073171,5.121951,-0.178467,-0.947144,-0.14917,8.268559752006922,83.87312267238053
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967086150593,2.256098,2.5,5.670732,-0.182007,-0.94458,-0.14679,8.363941374683748,83.46694429939322
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967091090593,1.829268,2.987805,5.853659,-0.185486,-0.947876,-0.146912,8.463080307549006,83.05920762850837
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967096030593,1.52439,3.170732,5.609756,-0.184143,-0.950195,-0.145325,8.562272762376523,82.65010344507243
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967100970593,1.158537,3.414634,5.182927,-0.19043,-0.956055,-0.14447,8.664559794259645,82.23987467478128
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967105910593,0.792683,3.719512,4.512195,-0.187805,-0.962646,-0.144348,8.766270164318342,81.82775309889848
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967110850593,0.304878,3.963415,4.085366,-0.187317,-0.968506,-0.143738,8.868174496322212,81.41336340502545
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967115790593,-0.365854,4.329268,3.597561,-0.190063,-0.976013,-0.148376,8.971980896621716,80.99602078674184
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967120730593,-0.731707,4.573171,3.231707,-0.191467,-0.981567,-0.15155,9.076744611152009,80.57718069299375
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967125670593,-1.036585,4.939024,2.5,-0.189575,-0.986511,-0.151062,9.181435836035774,80.1568339415486
6813f6c0-8ec4-49df-95d6-10a5bed4b42d,febe596d-e46a-41c3-aafc-b9e8052acf92,1634117967130610593,-1.341463,5.243903,1.890244,-0.190186,-0.99176,-0.15033,9.286781984615715,79.73519078862466
