,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,timestamp [ns]_for_grouping,ref_center_x,ref_center_y,ref_coordinates,tag
0,480,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2404.017,554.11,595.732,1.0,5.0,,1634115994855228329,530,596,"(530, 596)",f chest
1,487,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2440.002,595.103,595.051,1.0,,,1634115994891213329,570,595,"(570, 595)",f chest
2,492,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2463.961,594.767,594.832,1.0,6.0,,1634115994915172329,570,595,"(570, 595)",f chest
3,498,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2495.823,591.363,594.809,1.0,6.0,,1634115994947034329,567,595,"(567, 595)",f chest
4,507,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2539.98,501.822,587.873,1.0,,,1634115994991191329,478,588,"(478, 588)",noise
5,513,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2567.949,360.356,592.233,1.0,,,1634115995019160329,336,592,"(336, 592)",noise
6,520,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2603.856,170.364,645.781,1.0,,,1634115995055067329,147,646,"(147, 646)",m feet
7,527,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2639.882,142.855,645.068,1.0,,,1634115995091093329,120,645,"(120, 645)",m feet
8,533,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2668.026,119.969,635.602,1.0,,,1634115995119237329,97,635,"(97, 635)",m feet
9,540,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2703.916,142.772,654.713,1.0,,,1634115995155127329,120,654,"(120, 654)",m feet
10,547,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2740.048,437.554,797.964,1.0,,,1634115995191259329,415,797,"(415, 797)",l base
11,555,6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2779.877,335.508,739.219,1.0,,,1634115995231088329,312,738,"(312, 738)",noise
