section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px]
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1,1634115992451211329,1634115992539208329,87,837.518,428.869
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,2,1634115992587231329,1634115992763291329,176,649.772,418.554
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,3,1634115992783157329,1634115993099242329,316,596.223,442.183
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,4,1634115993103126329,1634115994279198329,1176,572.211,388.092
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,5,1634115994395103329,1634115994899241329,504,540.642,590.845
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,6,1634115994895224329,1634115994979106329,83,593.562,595.325
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,7,1634115995367224329,1634115995943224329,576,150.979,608.812
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,8,1634115995983231329,1634115996251211329,267,252.151,721.418
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,9,1634115996331354329,1634115997243240329,911,238.813,562.245
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,10,1634115997295193329,1634115997791162329,495,157.039,604.841
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,11,1634115997843076329,1634115998115255329,272,231.284,734.956
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,12,1634115998143128329,1634115998515208329,372,268.519,797.725
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,13,1634115998591093329,1634115998707173329,116,444.018,811.133
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,14,1634115998731214329,1634115999823240329,1092,532.546,788.902
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,15,1634115999851251329,1634116000231510329,380,634.819,728.098
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,16,1634116000247268329,1634116000423243329,175,633.494,691.698
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,17,1634116000431193329,1634116000591255329,160,594.635,702.648
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,18,1634116000631187329,1634116000799525329,168,573.36,655.603
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,19,1634116000827235329,1634116000935235329,108,589.37,605.134
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,20,1634116001035197329,1634116001783216329,748,671.397,360.923
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,21,1634116001803139329,1634116004111136329,2307,659.981,357.57
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,22,1634116004139288329,1634116005399184329,1259,618.073,345.843
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,23,1634116005419233329,1634116005967206329,547,597.892,374.258
