section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992893240329,-0.426829,0.670732,0.121951,-0.121094,-0.993835,0.069153,7.055059452633259,89.57321786860274
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992898180329,-0.670732,0.670732,0.121951,-0.115967,-0.993713,0.069458,7.107959775147123,89.14499720172608
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992903120329,-0.731707,0.731707,0.060976,-0.119507,-0.997192,0.068298,7.162464604897991,88.71667669147234
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992908060329,-0.609756,0.731707,0.0,-0.119263,-0.995972,0.06842,7.216902438078506,88.28902072793886
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992913000329,-0.548781,0.731707,0.0,-0.119324,-0.992676,0.069458,7.271506518079491,87.86177835721844
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992917940329,-0.731707,0.731707,0.060976,-0.118958,-0.993713,0.07074,7.325883044242744,87.43371948651998
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992922880329,-0.609756,0.670732,0.060976,-0.118591,-0.993591,0.067505,7.3797745782992195,87.00637680842135
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992927820329,-0.609756,0.609756,0.243902,-0.12085,-0.989441,0.071594,7.434543247301576,86.57933307116957
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992932760329,-0.609756,0.548781,0.121951,-0.119263,-0.991943,0.069763,7.488130992471753,86.15235942972441
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992937700329,-0.670732,0.548781,0.060976,-0.119629,-0.995422,0.067749,7.541626019711174,85.72526966069415
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992942640329,-0.609756,0.487805,0.182927,-0.117126,-0.993469,0.068665,7.593849157827918,85.29858212951927
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992947580329,-0.548781,0.426829,0.121951,-0.117798,-0.993286,0.06897,7.645982962483117,84.87245497807538
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992952520329,-0.487805,0.426829,0.060976,-0.117249,-0.992737,0.069275,7.697818537497909,84.44684596953118
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992957460329,-0.670732,0.365854,0.243902,-0.118774,-0.992554,0.068054,7.750031634508133,84.02068429628491
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992962400329,-0.548781,0.426829,0.426829,-0.122009,-0.991211,0.068176,7.804016085583214,83.59558999754097
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992967340329,-0.487805,0.426829,0.426829,-0.11969,-0.991089,0.06604,7.856950215844023,83.17097274345178
6bca76e5-60cd-497f-8093-0ee1935032be,5651e31b-8087-4a51-85fa-829d4721f93d,1634115992972280329,-0.548781,0.426829,0.426829,-0.117065,-0.994324,0.066589,7.90852886046838,82.74621359070159
