index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,heatmap_ts,ref_center_x,ref_center_y
399,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933869413648,587.136,337.472,1.0,,,1996.035,,
405,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933901418648,485.056,368.411,1.0,,,2028.04,,
412,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933933398648,481.079,374.381,1.0,7.0,,2060.02,,
419,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663933969561648,480.875,374.79,1.0,7.0,,2096.183,,
427,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934009387648,476.824,375.156,1.0,7.0,,2136.009,569,436
431,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934029415648,474.125,377.475,1.0,7.0,,2156.037,563,440
438,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934065451648,475.014,376.067,1.0,7.0,,2192.073,,
445,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934101424648,473.979,377.744,1.0,7.0,,2228.046,569,421
452,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934133429648,469.771,382.032,1.0,,,2260.051,542,448
458,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934165682648,452.584,446.093,1.0,,,2292.304,535,549
465,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934201450648,451.878,487.205,1.0,8.0,,2328.072,520,609
471,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934229441648,456.711,491.216,1.0,8.0,,2356.063,512,620
480,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934277452648,462.981,482.087,1.0,8.0,,2404.074,,
487,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934309418648,465.153,480.714,1.0,8.0,,2436.04,514,621
493,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934341411648,466.443,481.548,1.0,8.0,,2468.033,510,625
500,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934377405648,463.419,490.717,1.0,8.0,,2504.027,500,637
507,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934409453648,463.018,501.584,1.0,8.0,,2536.075,499,658
513,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934441438648,479.755,540.208,1.0,,,2568.06,524,708
519,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934469424648,479.11,552.536,1.0,9.0,,2596.046,,
525,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934501413648,482.754,556.905,1.0,9.0,,2628.035,531,734
532,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934537436648,482.982,555.654,1.0,9.0,,2664.058,532,732
539,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934569445648,482.32,557.798,1.0,9.0,,2696.067,519,735
547,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934609440648,484.529,560.416,1.0,9.0,,2736.062,526,755
552,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934637410648,485.054,561.11,1.0,9.0,,2764.032,534,761
559,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934669434648,487.252,559.24,1.0,9.0,,2796.056,662,1184
567,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934709429648,487.748,554.386,1.0,9.0,,2836.051,525,742
573,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934741422648,492.016,554.204,1.0,9.0,,2868.044,,
579,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934769416648,494.01,555.818,1.0,9.0,,2896.038,528,734
586,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934805415648,439.658,551.111,1.0,,,2932.037,458,732
592,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934837464648,405.2,542.337,1.0,10.0,,2964.086,410,707
598,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934865554648,408.075,546.294,1.0,10.0,,2992.176,417,710
605,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934901430648,408.612,553.512,1.0,10.0,,3028.052,407,718
611,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934929427648,409.63,552.961,1.0,10.0,,3056.049,410,723
618,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663934965449648,413.199,552.509,1.0,10.0,,3092.071,415,715
627,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935013509648,407.839,551.006,1.0,10.0,,3140.131,409,701
631,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935033444648,409.541,550.899,1.0,10.0,,3160.066,409,699
638,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935065422648,412.837,549.879,1.0,10.0,,3192.044,414,694
645,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935101431648,415.244,550.446,1.0,10.0,,3228.053,422,692
652,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935137430648,418.909,551.66,1.0,,,3264.052,431,690
658,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935165432648,521.404,551.907,1.0,,,3292.054,579,682
667,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935213465648,590.269,538.145,1.0,11.0,,3340.087,683,661
671,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935233473648,585.662,539.723,1.0,11.0,,3360.095,687,666
678,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935265424648,588.865,540.562,1.0,11.0,,3392.046,706,671
686,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935305456648,590.908,536.667,1.0,11.0,,3432.078,718,667
693,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935341429648,590.116,533.086,1.0,11.0,,3468.051,726,666
699,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935373428648,589.431,531.182,1.0,11.0,,3500.05,732,668
706,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935405426648,583.157,531.202,1.0,11.0,,3532.048,728,672
713,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935441432648,585.242,532.759,1.0,11.0,,3568.054,727,675
719,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935473461648,586.205,534.544,1.0,11.0,,3600.083,730,680
727,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935513438648,578.526,536.699,1.0,11.0,,3640.06,719,681
732,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935537483648,538.464,536.736,1.0,,,3664.105,664,683
739,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935573410648,506.934,542.982,1.0,12.0,,3700.032,617,693
747,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935613365648,510.53,544.544,1.0,12.0,,3739.987,617,691
753,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935641400648,506.309,546.917,1.0,12.0,,3768.022,611,693
759,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935673359648,506.365,552.089,1.0,12.0,,3799.981,605,694
766,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935705434648,507.516,554.489,1.0,12.0,,3832.056,605,693
773,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935741388648,501.894,556.994,1.0,12.0,,3868.01,594,694
779,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935773380648,499.259,556.012,1.0,12.0,,3900.002,592,691
787,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935813405648,510.809,547.225,1.0,,,3940.027,608,673
793,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935841372648,553.746,526.54,1.0,13.0,,3967.994,662,637
799,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935873373648,560.203,527.218,1.0,13.0,,3999.995,676,636
806,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935909405648,558.444,529.196,1.0,13.0,,4036.027,688,640
812,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935937394648,557.634,531.444,1.0,13.0,,4064.016,671,636
819,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663935973415648,556.6,533.048,1.0,13.0,,4100.037,670,637
826,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936009388648,556.799,534.466,1.0,13.0,,4136.01,670,640
833,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936041480648,569.116,538.622,1.0,13.0,,4168.102,687,645
838,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936069437648,571.886,541.369,1.0,13.0,,4196.059,719,650
847,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936113617648,575.194,541.214,1.0,13.0,,4240.239,696,652
853,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936141394648,579.942,538.755,1.0,13.0,,4268.016,707,643
859,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936173397648,582.265,531.345,1.0,13.0,,4300.019,710,631
866,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936209420648,579.153,530.336,1.0,13.0,,4336.042,709,626
873,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936241395648,576.1,526.356,1.0,13.0,,4368.017,704,618
880,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936277380648,576.215,527.051,1.0,13.0,,4404.002,734,620
886,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936309393648,576.319,527.663,1.0,13.0,,4436.015,703,618
893,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936341363648,575.746,528.927,1.0,13.0,,4467.985,705,623
899,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936373421648,575.835,529.681,1.0,13.0,,4500.043,699,622
906,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936409396648,576.479,530.699,1.0,13.0,,4536.018,692,623
913,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936441386648,550.566,534.799,1.0,,,4568.008,664,633
919,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936473468648,537.118,596.679,1.0,14.0,,4600.09,651,719
926,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936509394648,533.404,598.326,1.0,14.0,,4636.016,647,722
932,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936540550648,532.345,597.871,1.0,14.0,,4667.172,646,715
939,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936573401648,535.713,594.538,1.0,14.0,,4700.023,647,716
945,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936605386648,540.269,597.421,1.0,14.0,,4732.008,660,721
953,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936645374648,542.536,600.325,1.0,14.0,,4771.996,663,705
958,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936669642648,541.906,601.807,1.0,,,4796.264,669,737
965,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936705409648,575.179,662.757,1.0,,,4832.031,747,828
972,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936737410648,589.469,681.258,1.0,15.0,,4864.032,737,811
979,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936773378648,590.011,674.389,1.0,15.0,,4900.0,737,834
986,1658a2ac-ec70-42e4-9471-ae73a37a02ad,c97418b6-c675-47af-936f-9a446b7f55e0,1651663936809397648,590.581,672.6,1.0,15.0,,4936.019,729,827
