section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,azimuth [deg],elevation [deg]
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291595275226,549.239,499.244,0.0,1,,0.8131117665986617,5.039308188426597
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291598980226,549.238,499.254,0.0,1,,0.8130187773602987,5.038543370903724
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291603044226,549.238,499.265,0.0,1,,0.8130688731123037,5.037739407097242
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291607067226,549.243,499.285,0.0,1,,0.8134464317911244,5.036260736916403
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291614949226,548.989,499.269,0.0,1,,0.794199812717611,5.037422444707244
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291619030226,548.856,499.262,0.0,1,,0.784167741481864,5.038016073402492
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291622944226,548.777,499.269,0.0,1,,0.7781717366612558,5.037456507072356
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291627082226,548.727,499.272,0.0,1,,0.7744116607988107,5.037225465701395
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291634969226,548.599,499.295,0.0,1,,0.764673301205788,5.035467275967665
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291639021226,548.544,499.32,0.0,1,,0.7605470505673881,5.033591886491293
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291643171226,548.498,499.361,0.0,1,,0.7570064853089533,5.030527252396991
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291647150226,548.385,499.369,0.0,1,,0.7484654740921484,5.0299432109297895
68d46c8c-4364-4b73-8c29-02e106980f24,b9dae4a6-fb6c-4279-8b06-c773c36549f2,1688464291655055226,548.158,499.398,0.0,1,,0.7313226908348006,5.027773525628355
