index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
515,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2575.739,584.933,399.869,1.0,11.0,,584,584
522,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2611.755,595.749,396.412,1.0,11.0,,593,593
529,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2647.724,598.271,382.559,1.0,11.0,,594,594
535,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2675.662,590.909,371.612,1.0,11.0,,585,587
543,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2715.711,571.678,365.108,1.0,11.0,,564,568
548,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2743.783,572.671,372.448,1.0,11.0,,564,569
555,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2775.753,573.472,377.566,1.0,11.0,,562,570
560,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2803.805,568.13,382.36,1.0,11.0,,556,565
568,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2843.7,432.965,389.689,1.0,,,418,432
574,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2871.792,407.115,421.045,1.0,12.0,,391,408
582,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2911.751,426.016,427.404,1.0,12.0,,406,428
589,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2947.738,454.496,416.831,1.0,,,432,457
594,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,2971.734,467.112,396.496,1.0,13.0,,441,470
602,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3011.694,462.76,382.204,1.0,13.0,,433,467
609,98b876d7-7fae-40ee-b5bc-bb783e823295,9d473d67-4042-4ddf-bdb4-14eadac2036f,3047.812,440.762,384.997,1.0,13.0,,405,446
