index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
582,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2939.309,606.297,371.578,1.0,10.0,,605,606
591,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,2983.381,622.193,368.03,1.0,10.0,,621,622
597,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3015.76,587.289,359.858,1.0,11.0,,587,586
604,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3051.376,598.201,361.98,1.0,11.0,,598,597
611,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3083.415,630.254,346.717,1.0,11.0,,621,992
616,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3111.353,624.963,353.801,1.0,11.0,,625,624
628,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3171.455,607.812,361.546,1.0,11.0,,609,609
636,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3211.397,586.54,363.399,1.0,11.0,,587,590
645,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3255.363,591.283,366.805,1.0,11.0,,591,596
652,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3291.356,605.766,368.195,1.0,11.0,,607,612
655,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3315.485,595.112,363.881,1.0,11.0,,595,602
661,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3343.414,625.743,385.17,1.0,12.0,,538,644
669,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3383.414,622.902,368.799,1.0,12.0,,531,970
675,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3415.339,606.446,362.883,1.0,12.0,,606,613
681,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3447.345,601.195,364.708,1.0,12.0,,602,607
690,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3491.348,596.039,366.624,1.0,12.0,,597,602
694,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3511.371,583.082,367.374,1.0,12.0,,584,589
701,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3547.365,607.663,364.38,1.0,12.0,,608,615
708,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3579.365,612.635,367.822,1.0,,,614,620
715,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3615.357,565.873,368.709,1.0,13.0,,565,574
722,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3651.388,583.604,369.166,1.0,13.0,,583,592
729,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3687.38,577.936,378.486,1.0,13.0,,578,585
735,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3715.369,568.469,376.335,1.0,13.0,,566,576
741,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3747.393,570.018,370.456,1.0,13.0,,568,579
749,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,3787.417,595.599,367.426,1.0,13.0,,597,603
