index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
9522,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,47997.137,577.603,395.859,1.0,157.0,,593,538
9530,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48037.109,554.434,395.349,1.0,157.0,,569,513
9535,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48065.178,575.903,393.481,1.0,157.0,,591,535
9540,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48089.147,576.998,386.009,1.0,157.0,,592,536
9547,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48125.117,573.036,387.545,1.0,157.0,,589,532
9556,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48169.113,568.533,387.699,1.0,157.0,,585,527
9561,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48193.179,587.886,393.621,1.0,157.0,,603,547
9567,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48225.147,544.373,384.428,1.0,,,560,502
9574,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48257.141,533.844,388.699,1.0,158.0,,550,492
9579,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48285.127,535.786,391.728,1.0,158.0,,552,494
9586,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48325.155,568.049,399.185,1.0,,,584,527
9593,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48357.137,522.151,400.368,1.0,159.0,,538,480
9601,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48397.108,524.319,394.702,1.0,159.0,,540,482
9605,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48421.142,531.714,394.827,1.0,159.0,,548,490
9613,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48461.142,540.843,389.96,1.0,159.0,,556,499
9620,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48493.136,557.562,404.416,1.0,159.0,,573,516
9626,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48525.465,550.691,408.029,1.0,159.0,,567,509
9635,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48569.128,526.66,402.967,1.0,,,543,485
9641,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48601.162,470.864,395.823,1.0,160.0,,487,429
9646,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48625.121,466.669,390.729,1.0,160.0,,483,425
9652,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48653.159,436.477,391.165,1.0,160.0,,452,394
9660,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48693.163,482.931,396.004,1.0,,,499,442
9666,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48725.117,523.416,399.206,1.0,161.0,,540,483
9673,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,48761.11,523.186,398.653,1.0,161.0,,539,484
