section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472182494233,-1.158537,3.597561,0.548781,-0.117493,-0.9823,-0.131531,7.068590051175136,89.56949160334597
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472187434233,-1.219512,3.353659,0.243902,-0.117981,-0.986511,-0.133118,7.135980337787686,89.13870668582649
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472192374233,-1.280488,3.170732,0.121951,-0.117126,-0.985901,-0.134094,7.202132488289891,88.70762797950061
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472197314233,-1.036585,2.926829,0.0,-0.116394,-0.984802,-0.132202,7.266802982302352,88.27779109327281
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472202254233,-0.97561,2.682927,-0.060976,-0.11676,-0.985657,-0.130249,7.330351860768133,87.84835716421247
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472207194233,-0.853659,2.439024,-0.548781,-0.113708,-0.983582,-0.131287,7.391379372402753,87.41948156217791
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472212134233,-0.792683,2.134146,-0.609756,-0.116089,-0.983826,-0.136597,7.451833160806416,86.99114955409732
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472217074233,-0.731707,2.012195,-0.609756,-0.112122,-0.988342,-0.13446,7.509724118124069,86.5630457976348
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472222014233,-0.670732,1.768293,-0.670732,-0.113281,-0.988403,-0.13385,7.566808576850121,86.13546184316186
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472226954233,-0.426829,1.646341,-0.792683,-0.115662,-0.988953,-0.135315,7.624145603568564,85.7093726180479
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472231894233,-0.365854,1.585366,-0.853659,-0.113831,-0.987976,-0.135132,7.680348191533085,85.28369724597565
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472236834233,-0.182927,1.585366,-0.853659,-0.113464,-0.989563,-0.137634,7.736226026022507,84.85911503989229
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472241774233,0.121951,1.52439,-0.853659,-0.108459,-0.986633,-0.137268,7.7897396357960815,84.43605093875749
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472246714233,-0.0,1.463415,-0.914634,-0.10791,-0.983154,-0.137817,7.842748175987111,84.01262062902066
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472251654233,0.060976,1.280488,-0.914634,-0.107056,-0.984131,-0.139648,7.89434274026965,83.58971171775084
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472256594233,0.060976,1.280488,-0.792683,-0.112244,-0.981506,-0.142517,7.948198906244187,83.1673460701785
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472261534233,0.182927,1.341463,-0.731707,-0.107056,-0.983582,-0.142883,7.999993383795726,82.74562545366535
06e5007f-bbd2-4c89-aab8-500a5987bc6e,10d1ca99-39bb-4a08-ae75-6cda65bfd412,1638439472266474233,0.121951,1.402439,-0.548781,-0.107666,-0.984131,-0.141968,8.052312271214959,82.32395012157014
