name,"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(center_x,center_y)"
female face,"(355, 399)","(593, 173)","(355, 173)","(593, 399)","(474, 286)"
sarcophagus,"(325, 842)","(836, 545)","(325, 545)","(836, 842)","(580, 693)"
